,prob,eng
117,6.666666666666667e-05,-652.00267
118,3.3333333333333335e-05,-651.86928
119,3.3333333333333335e-05,-651.79249
120,3.3333333333333335e-05,-651.67249
121,3.3333333333333335e-05,-651.51892
122,3.3333333333333335e-05,-651.41391
123,3.3333333333333335e-05,-651.27435
124,3.3333333333333335e-05,-651.16025
125,3.3333333333333335e-05,-651.04697
126,3.3333333333333335e-05,-651.04628
127,0.0001,-650.91254
128,6.666666666666667e-05,-650.71405
129,3.3333333333333335e-05,-650.66363
130,3.3333333333333335e-05,-650.47251
131,3.3333333333333335e-05,-650.46328
132,3.3333333333333335e-05,-650.19716
133,6.666666666666667e-05,-650.00642
134,3.3333333333333335e-05,-649.9289
135,0.00016666666666666666,-649.87722
136,0.0002,-649.79372
137,3.3333333333333335e-05,-649.76061
138,3.3333333333333335e-05,-649.50608
139,6.666666666666667e-05,-649.47697
140,3.3333333333333335e-05,-649.43454
141,0.0001,-649.43181
142,3.3333333333333335e-05,-649.28838
143,6.666666666666667e-05,-649.23088
144,6.666666666666667e-05,-649.2031
145,3.3333333333333335e-05,-648.7607
146,0.0001,-648.75454
147,0.0002,-648.46527
148,3.3333333333333335e-05,-648.33442
149,3.3333333333333335e-05,-648.30605
150,3.3333333333333335e-05,-648.28772
151,0.00016666666666666666,-648.11297
152,0.0004333333333333333,-648.0844
153,3.3333333333333335e-05,-648.03229
154,0.0002,-648.02328
155,3.3333333333333335e-05,-647.87361
156,6.666666666666667e-05,-647.85346
157,3.3333333333333335e-05,-647.62879
158,6.666666666666667e-05,-647.54786
159,3.3333333333333335e-05,-647.44067
160,3.3333333333333335e-05,-647.39879
161,3.3333333333333335e-05,-647.29016
162,0.0003333333333333333,-647.26369
163,3.3333333333333335e-05,-647.23124
164,3.3333333333333335e-05,-647.15294
165,3.3333333333333335e-05,-647.11783
166,3.3333333333333335e-05,-647.08799
167,3.3333333333333335e-05,-647.07036
168,0.00013333333333333334,-647.00932
169,3.3333333333333335e-05,-646.84481
170,3.3333333333333335e-05,-646.77661
171,0.0001,-646.67084
172,3.3333333333333335e-05,-646.66911
173,3.3333333333333335e-05,-646.66871
174,3.3333333333333335e-05,-646.65193
175,3.3333333333333335e-05,-646.56075
176,3.3333333333333335e-05,-646.55754
177,0.0002666666666666667,-646.42632
178,3.3333333333333335e-05,-646.38063
179,0.00013333333333333334,-646.18104
180,3.3333333333333335e-05,-646.14057
181,3.3333333333333335e-05,-646.12484
182,0.0001,-646.10243
183,3.3333333333333335e-05,-645.93973
184,0.00013333333333333334,-645.93541
185,3.3333333333333335e-05,-645.92849
186,3.3333333333333335e-05,-645.91893
187,6.666666666666667e-05,-645.91492
188,3.3333333333333335e-05,-645.90934
189,0.0001,-645.87484
190,0.0001,-645.82415
191,3.3333333333333335e-05,-645.81829
192,0.0001,-645.74384
193,3.3333333333333335e-05,-645.67704
194,3.3333333333333335e-05,-645.67258
195,3.3333333333333335e-05,-645.4061
196,6.666666666666667e-05,-645.36618
197,3.3333333333333335e-05,-645.26508
198,3.3333333333333335e-05,-645.21547
199,0.0005333333333333334,-645.15171
200,3.3333333333333335e-05,-645.02193
201,3.3333333333333335e-05,-645.0129
202,6.666666666666667e-05,-644.98625
203,6.666666666666667e-05,-644.78752
204,0.00013333333333333334,-644.75401
205,3.3333333333333335e-05,-644.73891
206,3.3333333333333335e-05,-644.65634
207,3.3333333333333335e-05,-644.61818
208,3.3333333333333335e-05,-644.60723
209,3.3333333333333335e-05,-644.573
210,3.3333333333333335e-05,-644.42644
211,0.0001,-644.39695
212,3.3333333333333335e-05,-644.29287
213,0.00016666666666666666,-644.15071
214,6.666666666666667e-05,-644.08058
215,3.3333333333333335e-05,-644.05356
216,0.0002,-644.04199
217,3.3333333333333335e-05,-643.8615
218,6.666666666666667e-05,-643.76047
219,0.0002,-643.74906
220,3.3333333333333335e-05,-643.74429
221,6.666666666666667e-05,-643.62818
222,3.3333333333333335e-05,-643.61924
223,3.3333333333333335e-05,-643.51397
224,3.3333333333333335e-05,-643.4919
225,3.3333333333333335e-05,-643.48263
226,3.3333333333333335e-05,-643.45521
227,3.3333333333333335e-05,-643.38265
228,0.00013333333333333334,-643.32493
229,0.0001,-643.32413
230,3.3333333333333335e-05,-643.27227
231,3.3333333333333335e-05,-643.2048
232,0.00016666666666666666,-643.06947
233,3.3333333333333335e-05,-642.91196
234,3.3333333333333335e-05,-642.83281
235,3.3333333333333335e-05,-642.81139
236,3.3333333333333335e-05,-642.80421
237,3.3333333333333335e-05,-642.77868
238,3.3333333333333335e-05,-642.77377
239,0.0002,-642.69819
240,3.3333333333333335e-05,-642.66279
241,3.3333333333333335e-05,-642.65704
242,3.3333333333333335e-05,-642.63768
243,3.3333333333333335e-05,-642.56409
244,3.3333333333333335e-05,-642.56385
245,3.3333333333333335e-05,-642.54793
246,3.3333333333333335e-05,-642.46755
247,0.0003333333333333333,-642.45983
248,3.3333333333333335e-05,-642.41786
249,3.3333333333333335e-05,-642.40936
250,6.666666666666667e-05,-642.39128
251,0.0002666666666666667,-642.35033
