,cumulative,eng
173,0.9999999999999992,0.173
174,0.9999999999999998,0.17400000000000002
175,0.9999999999999999,0.17500000000000002
176,1.0,0.17600000000000002
177,1.0,0.177
178,1.0,0.17800000000000002
179,1.0,0.179
180,1.0,0.18
181,1.0,0.18100000000000002
182,1.0,0.182
183,1.0,0.183
184,1.0,0.184
185,1.0,0.185
186,1.0,0.18600000000000003
187,1.0,0.187
188,1.0,0.188
189,1.0,0.18899999999999997
190,1.0,0.19
191,1.0,0.191
192,1.0,0.192
193,1.0,0.193
194,1.0,0.19399999999999998
195,1.0,0.195
196,1.0,0.196
197,1.0,0.19699999999999998
198,1.0,0.198
199,1.0,0.19899999999999998
200,1.0,0.2
201,1.0,0.201
202,1.0,0.20199999999999999
203,1.0,0.203
204,1.0,0.204
205,1.0,0.205
